Customer ID,Customer Name,Age,Email,Address,Phone Number,Income,Product ID
87-2919006,Eli De Vile,,ede0@biglobe.ne.jp,344 Surrey Crossing,435-871-1657,229021,46-2732354
56-9876147,Ginevra Karolowski,73,gkarolowski1@soup.io,10489 Burrows Plaza,602-996-8547,28218,07-4959214
73-2941955,Cristiano McNeish,83,cmcneish2@ox.ac.uk,136 Pleasure Place,112-911-8373,271271,69-8808573
83-9114467,Lucias Odams,28,lodams3@reuters.com,289 Dottie Court,248-853-7200,6749,
42-9271721,Upton Mounsie,84,umounsie4@samsung.com,1 Helena Center,323-424-3770,483628,33-1257533
75-4953322,Jeannette Gatley,50,jgatley5@auda.org.au,,629-909-9936,,56-9365892
74-5488660,Nevsa Dredge,17,ndredge6@illinois.edu,84382 Heath Avenue,349-567-8614,404027,20-4396570
27-6531689,Emeline Helks,48,ehelks7@vk.com,4244 Aberg Plaza,742-414-6096,398638,48-8088580
04-0366460,Kaycee Ridde,42,kridde8@walmart.com,4 Sherman Lane,832-836-5327,329651,06-5948226
58-7694747,Chrissie Tripp,56,ctripp9@answers.com,645 Hovde Street,710-368-9310,,99-2939935
83-5565966,Stace Lince,19,slincea@yellowbook.com,580 Sauthoff Center,505-531-4977,,41-4272436
81-2423872,Jackelyn Westcott,30,jwestcottb@i2i.jp,,722-483-9733,347711,79-4564236
37-2723236,Dare Connachan,88,dconnachanc@seesaa.net,7 Hintze Junction,720-774-3746,178977,81-3582531
31-7669435,Jameson Toolin,17,jtoolind@bandcamp.com,67 South Lane,126-173-2557,,93-0679435
97-8722080,Jermain Coulter,,,2 Scofield Park,582-890-3965,264730,17-5999723
22-0819003,Deana Spandley,39,,51 Bay Avenue,206-608-8410,295836,80-1464757
09-1327795,Goldi Scrinage,87,,58 Meadow Ridge Plaza,177-753-8294,574953,34-4720533
30-7033319,Giana Kennifick,31,gkennifickh@npr.org,88 Dryden Hill,215-405-8708,61380,14-9553949
18-5267292,Zorine Facchini,56,zfacchinii@mac.com,3 Nevada Pass,960-394-2956,617384,63-4506244
84-2749944,Sorcha Fillon,56,sfillonj@bandcamp.com,945 Center Road,151-477-7437,568898,41-8539672
52-9361646,Nertie Vondrak,,nvondrakk@sfgate.com,869 Nova Street,196-361-7877,584464,90-8515957
47-3111844,Averil Carme,49,acarmel@delicious.com,5299 Bunting Park,246-979-6912,,14-8113708
10-0570304,Thalia Crutchley,18,tcrutchleym@blogspot.com,,885-583-1926,,19-9981611
54-9449404,Albertine Martlew,75,amartlewn@economist.com,4 Hazelcrest Center,324-456-9387,251464,54-4818056
54-4180693,Luke Mulvenna,30,lmulvennao@nymag.com,34586 Dorton Park,289-768-6178,19595,67-8605069
61-6271929,Leigh Lochrie,65,llochriep@booking.com,69 Bluejay Terrace,801-694-5047,637732,10-2615476
85-9154463,Verine Yarrow,,vyarrowq@baidu.com,042 Donald Point,186-823-4440,72216,95-2813871
37-9310844,Gretna Eayres,55,geayresr@marketwatch.com,9 Eastlawn Terrace,486-143-2586,534380,24-9091856
69-1536365,Thacher McGray,66,tmcgrays@baidu.com,919 Mendota Street,861-655-0846,319535,
36-7264422,Lauren Kindley,16,,32 Warner Drive,123-322-7216,532743,80-3972075
58-3166132,Brandea Follitt,38,bfollittu@wordpress.org,0986 Duke Trail,828-871-5882,89538,54-9539738
86-6007591,Thomasine Glabach,87,tglabachv@reverbnation.com,499 Dapin Alley,794-152-1461,384290,10-9822345
51-2817674,Scottie Ros,,srosw@g.co,33087 Esch Lane,152-664-3112,341113,07-7882623
70-7411062,Rozalie Leney,44,rleneyx@1und1.de,02 Kingsford Junction,200-537-9808,,37-5391482
05-2671658,Mitchael Girodier,46,mgirodiery@patch.com,30 Logan Trail,138-957-2311,191881,66-1588380
41-8231958,Shelly MacAndie,53,smacandiez@npr.org,,101-530-9961,84948,18-0899742
85-3082531,Raffaello Wincom,57,rwincom10@spiegel.de,8677 Tennyson Lane,156-450-6195,405205,24-1570462
97-0217405,Alick Biddle,71,abiddle11@cbsnews.com,5222 Hoffman Junction,445-302-5677,,
85-8790015,Hobie Cheine,22,hcheine12@earthlink.net,961 Service Place,746-335-1264,221629,30-5824112
34-2108158,Hector McLemon,25,hmclemon13@japanpost.jp,57 Union Road,761-737-5357,,90-9162009
84-6665855,Lari Gregoraci,45,lgregoraci14@twitter.com,19993 Dovetail Way,921-625-8863,254922,61-7086227
07-6627594,Mort Spearman,56,mspearman15@msu.edu,49 Superior Street,500-326-6642,435948,62-2500038
20-6964744,Emmalynne Tiner,21,etiner16@yolasite.com,351 International Drive,920-191-5760,,15-4920204
22-9024599,Toddy Thridgould,62,tthridgould17@vinaora.com,4 Del Sol Terrace,866-369-2362,640339,28-6635779
88-0494763,Feodora Legrand,,flegrand18@blogger.com,23038 Lighthouse Bay Lane,783-870-0398,572636,08-2371798
48-1823712,Davidson O'Lennachain,77,dolennachain19@google.it,2 Di Loreto Street,203-334-7667,584881,22-1084745
11-5457304,Carol Imloch,47,cimloch1a@wordpress.org,42 Duke Park,903-641-8390,,45-9898962
49-7704560,Anthiathia Tumioto,87,atumioto1b@linkedin.com,37 Surrey Parkway,321-393-1236,,03-7502449
29-2538583,Dacia D'Antuoni,19,ddantuoni1c@ucsd.edu,541 Stang Plaza,146-820-0978,642748,87-4417301
40-9700420,Laurene Haggie,61,lhaggie1d@cloudflare.com,78604 Carey Pass,393-898-4507,165657,16-7662538
61-6178082,Steve Petel,,spetel1e@blogger.com,7625 Swallow Court,202-652-1714,405465,86-6678192
50-1068248,Bathsheba Feathers,33,bfeathers1f@washingtonpost.com,3 Vernon Park,796-671-7403,,
00-8752952,Marya O' Hern,78,mo1g@ucoz.com,4 Donald Parkway,582-600-0741,,47-7645336
39-2678831,Warde Caldeiro,81,wcaldeiro1h@issuu.com,1 Fisk Center,775-547-6274,546096,03-6192510
87-2585602,Catherine Gaber,53,cgaber1i@newsvine.com,8 Hallows Center,140-949-8897,105754,
10-2144930,Farra Charnley,,fcharnley1j@sciencedaily.com,413 Mccormick Plaza,572-291-0730,445070,94-6894206
30-2475210,Collin Newbatt,17,cnewbatt1k@quantcast.com,7 Sommers Road,362-781-6334,514401,
83-3126875,Martie Kiddie,47,mkiddie1l@oakley.com,620 Crescent Oaks Court,420-173-6417,637855,58-8848934
16-3514444,Odie Lingwood,18,olingwood1m@simplemachines.org,574 Eagan Place,748-366-5280,651894,52-9679428
27-0719017,Collin Braunds,53,cbraunds1n@alibaba.com,0 Lunder Way,613-804-9341,596901,38-4449128
61-5706656,Budd Gunton,41,bgunton1o@imdb.com,,696-703-7929,,81-3766551
19-3918745,Dav Vinall,61,dvinall1p@newyorker.com,44200 Anniversary Circle,955-715-9293,652809,60-2114347
49-7207269,Lydia McGauhy,79,,33120 Center Plaza,959-490-5545,,59-3857887
44-3770400,Vassily Mendoza,66,vmendoza1r@wikia.com,7785 Dahle Park,359-295-6853,54672,75-1000427
93-9875868,Dniren McNelis,16,dmcnelis1s@fda.gov,49 Eggendart Park,678-168-3955,154209,25-0122970
11-7135072,Blisse Spawell,44,bspawell1t@goo.gl,8458 Shasta Street,720-655-7845,646952,46-2022320
29-5200453,Christa Dumbrill,83,cdumbrill1u@over-blog.com,838 Rieder Lane,261-426-1271,,20-3169461
78-4725007,Hakeem Tetley,20,htetley1v@trellian.com,04040 Hazelcrest Point,641-316-6608,272908,44-2931596
12-5503157,Lauree Sarton,59,,021 Ronald Regan Alley,587-565-4288,,30-6022603
34-3081952,Lothaire Strotton,83,lstrotton1x@ted.com,619 Reindahl Street,332-721-7006,295227,04-5292641
30-2756168,Georg Rizzotto,86,grizzotto1y@biblegateway.com,806 Corscot Way,906-289-9082,492054,48-9540310
13-4958855,Ugo Coning,,uconing1z@weather.com,17 Ridgeview Park,856-744-9483,,
57-3429810,Brana Lemerie,51,blemerie20@icio.us,8 Morningstar Avenue,379-902-7989,276766,81-7855271
21-8487113,Corrie Burgan,25,cburgan21@loc.gov,0335 Melby Road,522-634-7367,567830,13-6182648
31-7493614,Maible Ogle,48,mogle22@cdbaby.com,6 Truax Center,730-723-8887,404177,
26-3549653,Eimile Manilove,88,emanilove23@yellowpages.com,16 Hovde Place,646-870-8703,98011,73-3740707
31-1035905,Sianna Vynarde,80,svynarde24@ocn.ne.jp,569 Becker Place,934-419-1934,,
62-9429896,Nerta Dunkinson,66,ndunkinson25@nps.gov,293 Nobel Circle,646-363-7522,206940,30-6824295
36-1802950,Ted McKechnie,83,tmckechnie26@stumbleupon.com,943 Golf Course Lane,595-330-2130,567137,11-8659287
